gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
H200,R12000,dm,2,1000,12000,64,85.958,,137.56
H200,R12000,dm,4,1000,12000,64,85.852,,146.80363636
H200,R12000,dm,6,1000,12000,64,86.218,,153.459375
H200,R12000,lsqml,1,1000,12000,64,85.846,,116.25
H200,R12000,lsqml,2,1000,12000,64,85.892,,131.435
H200,R12000,lsqml,4,1000,12000,64,85.822,,143.83727273
H200,R12000,lsqml,6,1000,12000,64,85.85,,149.96125
H200,R12000,pie,1,1000,12000,64,85.862,,137.71851485
H200,R12000,pie,2,1000,12000,64,85.738,,137.93941915
H200,R12000,pie,4,1000,12000,64,85.922,,137.97587645
H200,R12000,pie,6,1000,12000,64,85.798,,137.88823263
H200,R2000,ad_ptycho,1,1000,2000,64,87.0,,103.43
H200,R2000,ad_ptycho,2,1000,2000,64,87.46666667,,110.97
H200,R2000,ad_ptycho,4,1000,2000,64,86.92333333,,110.535
H200,R2000,ad_ptycho,6,1000,2000,64,87.47,,118.7
H200,R2000,bh,1,1000,2000,64,87.19,,103.2
H200,R2000,bh,2,1000,2000,64,87.21,,110.1
H200,R2000,bh,4,1000,2000,64,87.39,,110.535
H200,R2000,bh,6,1000,2000,64,87.84,,120.05666667
H200,R2000,dm,1,1000,2000,64,87.32666667,,103.81
H200,R2000,dm,2,1000,2000,64,87.30333333,,110.155
H200,R2000,dm,4,1000,2000,64,87.43,,111.47
H200,R2000,dm,6,1000,2000,64,86.67666667,,117.38333333
H200,R2000,lsqml,1,1000,2000,64,87.05666667,,103.34
H200,R2000,lsqml,2,1000,2000,64,87.06,,109.275
H200,R2000,lsqml,4,1000,2000,64,87.05,,116.56666667
H200,R2000,lsqml,6,1000,2000,64,86.97666667,,123.96
H200,R2000,pie,1,1000,2000,64,86.51,,135.57777778
H200,R2000,pie,2,1000,2000,64,86.95666667,,136.4593578
H200,R2000,pie,4,1000,2000,64,86.94333333,,136.9842654
H200,R2000,pie,6,1000,2000,64,87.53666667,,137.25252336
H200,R4000,ad_ptycho,1,1000,4000,64,85.72,98.78,110.35
H200,R4000,ad_ptycho,2,1000,4000,64,85.70666667,98.82,117.585
H200,R4000,ad_ptycho,4,1000,4000,64,85.59666667,99.07,125.32
H200,R4000,ad_ptycho,6,1000,4000,64,85.67333333,98.89,138.148
H200,R4000,bh,1,1000,4000,64,86.04333333,,106.015
H200,R4000,bh,2,1000,4000,64,84.93,98.99,117.67
H200,R4000,bh,4,1000,4000,64,85.69333333,,121.5525
H200,R4000,bh,6,1000,4000,64,85.82333333,100.1,139.696
H200,R4000,dm,1,1000,4000,64,85.3,98.62,110.29
H200,R4000,dm,2,1000,4000,64,85.57666667,99.62,119.47
H200,R4000,dm,4,1000,4000,64,85.6,97.86,124.18
H200,R4000,dm,6,1000,4000,64,85.71,99.43,139.12
H200,R4000,lsqml,1,1000,4000,64,85.49,98.61,110.66
H200,R4000,lsqml,2,1000,4000,64,85.64333333,,111.26666667
H200,R4000,lsqml,4,1000,4000,64,85.86666667,99.47,130.885
H200,R4000,lsqml,6,1000,4000,64,85.44333333,98.88,135.696
H200,R4000,pie,1,1000,4000,64,85.64,,136.73504762
H200,R4000,pie,2,1000,4000,64,85.83666667,99.22,137.35556075
H200,R4000,pie,4,1000,4000,64,85.64666667,,137.6003423
H200,R4000,pie,6,1000,4000,64,85.45333333,98.95,137.68821534
H200,R8000,ad_ptycho,1,1000,8000,64,85.8775,,114.33666667
H200,R8000,ad_ptycho,2,1000,8000,64,86.5925,,129.826
H200,R8000,ad_ptycho,4,1000,8000,64,85.6875,,140.58125
H200,R8000,ad_ptycho,6,1000,8000,64,85.8525,,149.58181818
H200,R8000,bh,1,1000,8000,64,86.0925,,114.55666667
H200,R8000,bh,2,1000,8000,64,85.975,,128.626
H200,R8000,bh,4,1000,8000,64,86.095,,140.11714286
H200,R8000,bh,6,1000,8000,64,85.9125,,149.138
H200,R8000,dm,1,1000,8000,64,85.9025,,114.24666667
H200,R8000,dm,2,1000,8000,64,85.8475,,121.3225
H200,R8000,dm,4,1000,8000,64,85.9625,,140.65625
H200,R8000,dm,6,1000,8000,64,86.135,,147.37090909
H200,R8000,lsqml,1,1000,8000,64,85.8825,,113.42333333
H200,R8000,lsqml,2,1000,8000,64,85.565,,119.3575
H200,R8000,lsqml,4,1000,8000,64,85.7875,,137.2425
H200,R8000,lsqml,6,1000,8000,64,85.94,,144.01545455
