gpu,dataset,algorithm,epochs,batch_size,raw_images,resolution_y,resolution_x,N,io_load_time_s,setup_time_s,task_setup_time_s,reconstruction_run_time_s,save_time_s,total_time_s,log_file,power_duration_s,power_avg_w,power_min_w,power_max_w,power_energy_j,power_samples,power_csv,input_pixels,io_stage_s,prep_stage_s,pre_recon_s,num_batches,warmup_epoch,flops_per_image_epoch,flops_per_image_epoch_gflops,total_recon_gflops,fit_reconstruction
A100,R2000,bh,1,1000,2000,64,64,64,0.346715,0.004805,0.09067,0.331389,0.0,0.774176,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e1_bs1000.log,0.63,33.328,31.5,35.47,20.406,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e1_bs1000_power.csv,8192000,0.346715,0.095475,0.44218999999999997,2,True,1146880.0,0.00114688,2.29376,False
A100,R2000,bh,2,1000,2000,64,64,64,0.355311,0.004813,0.077277,0.427805,0.0,0.865744,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e2_bs1000.log,0.63,38.248000000000005,31.5,59.92,22.805999999999997,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e2_bs1000_power.csv,8192000,0.355311,0.08209,0.437401,2,False,1146880.0,0.00114688,4.58752,True
A100,R2000,bh,4,1000,2000,64,64,64,0.342249,0.004835,0.078955,0.64173,0.0,1.068727,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e4_bs1000.log,0.83,34.31,31.71,37.24,27.925999999999995,6,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e4_bs1000_power.csv,8192000,0.342249,0.08379,0.426039,2,False,1146880.0,0.00114688,9.17504,True
A100,R2000,bh,6,1000,2000,64,64,64,0.575127,0.004795,0.072768,0.847778,0.0,1.50107,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e6_bs1000.log,1.27,47.675,31.5,73.61,61.264199999999995,8,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/bh/e6_bs1000_power.csv,8192000,0.575127,0.077563,0.65269,2,False,1146880.0,0.00114688,13.76256,True
A100,R2000,dm,1,1000,2000,64,64,64,0.353418,0.006739,0.093477,0.311456,0.0,0.766409,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e1_bs1000.log,0.63,33.158,31.5,35.47,20.320999999999998,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e1_bs1000_power.csv,8192000,0.353418,0.100216,0.453634,2,True,1474560.0,0.00147456,2.94912,False
A100,R2000,dm,2,1000,2000,64,64,64,0.346732,0.006636,0.071769,0.413293,0.0,0.83904,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e2_bs1000.log,0.63,40.251999999999995,31.5,70.13,23.788999999999998,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e2_bs1000_power.csv,8192000,0.346732,0.078405,0.425137,2,False,1474560.0,0.00147456,5.89824,True
A100,R2000,dm,4,1000,2000,64,64,64,0.585677,0.00667,0.082449,0.630754,0.0,1.306127,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e4_bs1000.log,0.83,41.425000000000004,31.41,73.11,35.925999999999995,6,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e4_bs1000_power.csv,8192000,0.585677,0.08911899999999999,0.674796,2,False,1474560.0,0.00147456,11.79648,True
A100,R2000,dm,6,1000,2000,64,64,64,0.347309,0.00667,0.079788,0.817551,0.0,1.251922,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e6_bs1000.log,1.03,34.00571428571429,31.5,39.24,34.722,7,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/dm/e6_bs1000_power.csv,8192000,0.347309,0.086458,0.433767,2,False,1474560.0,0.00147456,17.69472,True
A100,R2000,lsqml,1,1000,2000,64,64,64,0.343084,0.00413,0.094227,0.287207,0.0,0.729226,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e1_bs1000.log,0.43,32.980000000000004,31.5,35.47,13.588999999999999,4,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e1_bs1000_power.csv,8192000,0.343084,0.098357,0.44144100000000003,2,True,983040.0,0.00098304,1.96608,False
A100,R2000,lsqml,2,1000,2000,64,64,64,0.360322,0.004049,0.086702,0.48607,0.0,0.937762,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e2_bs1000.log,0.63,33.614000000000004,31.5,37.4,20.424,5,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e2_bs1000_power.csv,8192000,0.360322,0.090751,0.451073,2,False,983040.0,0.00098304,3.93216,True
A100,R2000,lsqml,4,1000,2000,64,64,64,0.587492,0.003997,0.087756,0.652019,0.0,1.331828,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e4_bs1000.log,1.09,37.105714285714285,31.41,53.87,39.0534,7,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e4_bs1000_power.csv,8192000,0.587492,0.091753,0.6792450000000001,2,False,983040.0,0.00098304,7.86432,True
A100,R2000,lsqml,6,1000,2000,64,64,64,0.352361,0.003998,0.081266,0.883226,0.0,1.321389,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e6_bs1000.log,1.03,38.63857142857143,31.5,57.88,38.856,7,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/lsqml/e6_bs1000_power.csv,8192000,0.352361,0.085264,0.437625,2,False,983040.0,0.00098304,11.79648,True
A100,R2000,pie,1,1000,2000,64,64,64,0.351488,0.004792,0.083462,11.217513,0.0,11.658331,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/pie/e1_bs1000.log,11.44,34.41915254237288,31.49,35.45,393.585,59,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/pie/e1_bs1000_power.csv,8192000,0.351488,0.088254,0.439742,2,True,819200.0,0.0008192,1.6384,False
A100,R2000,pie,2,1000,2000,64,64,64,0.587052,0.004878,0.080668,21.742224,0.0,22.415474,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/pie/e2_bs1000.log,21.85,34.5518018018018,32.87,34.88,754.4309499999999,111,/home/zhong.zheng/pty-chi/modeling_exp/A100/R2000/pie/e2_bs1000_power.csv,8192000,0.587052,0.08554600000000001,0.672598,2,False,819200.0,0.0008192,3.2768,True
